EnrollmentID,StudentID,CourseID,InstructorID,EnrollmentDate,Semester,Grade
E0141,S087,C005,I007,2026-05-30,Semester 1,B-
E0142,S094,C006,I004,2026-05-31,Semester 1,C+
E0143,S001,C003,I006,2026-06-01,Semester 2,C
E0144,S008,C004,I003,2026-06-02,Semester 2,A+
E0145,S015,C012,I005,2026-06-03,Semester 2,A
E0146,S022,C008,I002,2026-06-04,Semester 2,A-
E0147,S029,C009,I004,2026-06-05,Semester 2,B+
E0148,S036,C010,I001,2026-06-06,Semester 2,B
E0149,S043,C011,I008,2026-06-07,Semester 2,B-
E0150,S050,C007,I005,2026-06-08,Semester 2,C+
E0151,S057,C002,I007,2026-06-09,Semester 2,C
E0152,S064,C006,I004,2026-06-10,Semester 2,A+
E0153,S071,C001,I006,2026-06-11,Semester 2,A
E0154,S078,C004,I003,2026-06-12,Semester 2,A-
E0155,S085,C012,I005,2026-06-13,Semester 2,B+
E0156,S092,C005,I002,2026-06-14,Semester 2,B
E0157,S099,C009,I004,2026-06-15,Semester 2,B-
E0158,S006,C003,I001,2026-06-16,Semester 2,C+
E0159,S013,C011,I008,2026-06-17,Semester 2,C
E0160,S020,C007,I005,2026-06-18,Semester 2,A+
E0161,S027,C008,I007,2026-01-10,Semester 1,A
E0162,S034,C006,I004,2026-01-11,Semester 1,A-
E0163,S041,C010,I006,2026-01-12,Semester 1,B+
E0164,S048,C004,I003,2026-01-13,Semester 1,B
E0165,S055,C012,I005,2026-01-14,Semester 1,B-
E0166,S062,C002,I002,2026-01-15,Semester 1,C+
E0167,S069,C009,I004,2026-01-16,Semester 1,C
E0168,S076,C001,I001,2026-01-17,Semester 1,A+
E0169,S083,C011,I008,2026-01-18,Semester 1,A
E0170,S090,C007,I005,2026-01-19,Semester 1,A-
E0171,S097,C005,I007,2026-01-20,Semester 1,B+
E0172,S004,C006,I004,2026-01-21,Semester 1,B
E0173,S011,C003,I006,2026-01-22,Semester 1,B-
E0174,S018,C004,I003,2026-01-23,Semester 1,C+
E0175,S025,C012,I005,2026-01-24,Semester 1,C
E0176,S032,C008,I002,2026-01-25,Semester 1,A+
E0177,S039,C009,I004,2026-01-26,Semester 1,A
E0178,S046,C010,I001,2026-01-27,Semester 1,A-
E0179,S053,C011,I008,2026-01-28,Semester 1,B+
E0180,S060,C007,I005,2026-01-29,Semester 1,B
E0181,S067,C002,I007,2026-01-30,Semester 1,B-
E0182,S074,C006,I004,2026-01-31,Semester 1,C+
E0183,S081,C001,I006,2026-02-01,Semester 1,C
E0184,S088,C004,I003,2026-02-02,Semester 1,A+
E0185,S095,C012,I005,2026-02-03,Semester 1,A
E0186,S002,C005,I002,2026-02-04,Semester 1,A-
E0187,S009,C009,I004,2026-02-05,Semester 1,B+
E0188,S016,C003,I001,2026-02-06,Semester 1,B
E0189,S023,C011,I008,2026-02-07,Semester 1,B-
E0190,S030,C007,I005,2026-02-08,Semester 1,C+
E0191,S037,C008,I007,2026-02-09,Semester 1,C
E0192,S044,C006,I004,2026-02-10,Semester 1,A+
E0193,S051,C010,I006,2026-02-11,Semester 1,A
E0194,S058,C004,I003,2026-02-12,Semester 1,A-
E0195,S065,C012,I005,2026-02-13,Semester 1,B+
E0196,S072,C002,I002,2026-02-14,Semester 1,B
E0197,S079,C009,I004,2026-02-15,Semester 1,B-
E0198,S086,C001,I001,2026-02-16,Semester 1,C+
E0199,S093,C011,I008,2026-02-17,Semester 1,C
E0200,S100,C007,I005,2026-02-18,Semester 1,A+
E0201,S007,C005,I007,2026-02-19,Semester 1,A
E0202,S014,C006,I004,2026-02-20,Semester 1,A-
E0203,S021,C003,I006,2026-02-21,Semester 1,B+
E0204,S028,C004,I003,2026-02-22,Semester 1,B
E0205,S035,C012,I005,2026-02-23,Semester 1,B-
E0206,S042,C008,I002,2026-02-24,Semester 1,C+
E0207,S049,C009,I004,2026-02-25,Semester 1,C
E0208,S056,C010,I001,2026-02-26,Semester 1,A+
E0209,S063,C011,I008,2026-02-27,Semester 1,A
E0210,S070,C007,I005,2026-02-28,Semester 1,A-
E0211,S077,C002,I007,2026-03-01,Semester 1,B+
E0212,S084,C006,I004,2026-03-02,Semester 1,B
E0213,S091,C001,I006,2026-03-03,Semester 1,B-
E0214,S098,C004,I003,2026-03-04,Semester 1,C+
E0215,S005,C012,I005,2026-03-05,Semester 1,C
E0216,S012,C005,I002,2026-03-06,Semester 1,A+
E0217,S019,C009,I004,2026-03-07,Semester 1,A
E0218,S026,C003,I001,2026-03-08,Semester 1,A-
E0219,S033,C011,I008,2026-03-09,Semester 1,B+
E0220,S040,C007,I005,2026-03-10,Semester 1,B
E0221,S047,C008,I007,2026-03-11,Semester 1,B-
E0222,S054,C006,I004,2026-03-12,Semester 1,C+
E0223,S061,C010,I006,2026-03-13,Semester 1,C
E0224,S068,C004,I003,2026-03-14,Semester 1,A+
E0225,S075,C012,I005,2026-03-15,Semester 1,A
E0226,S082,C002,I002,2026-03-16,Semester 1,A-
E0227,S089,C009,I004,2026-03-17,Semester 1,B+
E0228,S096,C001,I001,2026-03-18,Semester 1,B
E0229,S003,C011,I008,2026-03-19,Semester 1,B-
E0230,S010,C007,I005,2026-03-20,Semester 1,C+
E0231,S017,C005,I007,2026-03-21,Semester 1,C
E0232,S024,C006,I004,2026-03-22,Semester 1,A+
E0233,S031,C003,I006,2026-03-23,Semester 1,A
E0234,S038,C004,I003,2026-03-24,Semester 1,A-
E0235,S045,C012,I005,2026-03-25,Semester 1,B+
E0236,S052,C008,I002,2026-03-26,Semester 1,B
E0237,S059,C009,I004,2026-03-27,Semester 1,B-
E0238,S066,C010,I001,2026-03-28,Semester 1,C+
E0239,S073,C011,I008,2026-03-29,Semester 1,C
E0240,S080,C007,I005,2026-03-30,Semester 1,A+
E0241,S087,C002,I007,2026-03-31,Semester 1,A
E0242,S094,C006,I004,2026-04-01,Semester 1,A-
E0243,S001,C001,I006,2026-04-02,Semester 1,B+
E0244,S008,C004,I003,2026-04-03,Semester 1,B
E0245,S015,C012,I005,2026-04-04,Semester 1,B-
E0246,S022,C005,I002,2026-04-05,Semester 1,C+
E0247,S029,C009,I004,2026-04-06,Semester 1,C
E0248,S036,C003,I001,2026-04-07,Semester 1,A+
E0249,S043,C011,I008,2026-04-08,Semester 1,A
E0250,S050,C007,I005,2026-04-09,Semester 1,A-
E0251,S057,C008,I007,2026-04-10,Semester 1,B+
E0252,S064,C006,I004,2026-04-11,Semester 1,B
E0253,S071,C010,I006,2026-04-12,Semester 1,B-
E0254,S078,C004,I003,2026-04-13,Semester 1,C+
E0255,S085,C012,I005,2026-04-14,Semester 1,C
E0256,S092,C002,I002,2026-04-15,Semester 1,A+
E0257,S099,C009,I004,2026-04-16,Semester 1,A
E0258,S006,C001,I001,2026-04-17,Semester 1,A-
E0259,S013,C011,I008,2026-04-18,Semester 1,B+
E0260,S020,C007,I005,2026-04-19,Semester 1,B
E0261,S027,C005,I007,2026-04-20,Semester 1,B-
E0262,S034,C006,I004,2026-04-21,Semester 1,C+
E0263,S041,C003,I006,2026-04-22,Semester 1,C
E0264,S048,C004,I003,2026-04-23,Semester 1,A+
E0265,S055,C012,I005,2026-04-24,Semester 1,A
E0266,S062,C008,I002,2026-04-25,Semester 1,A-
E0267,S069,C009,I004,2026-04-26,Semester 1,B+
E0268,S076,C010,I001,2026-04-27,Semester 1,B
E0269,S083,C011,I008,2026-04-28,Semester 1,B-
E0270,S090,C007,I005,2026-04-29,Semester 1,C+
E0271,S097,C002,I007,2026-04-30,Semester 1,C
E0272,S004,C006,I004,2026-05-01,Semester 1,A+
E0273,S011,C001,I006,2026-05-02,Semester 1,A
E0274,S018,C004,I003,2026-05-03,Semester 1,A-
E0275,S025,C012,I005,2026-05-04,Semester 1,B+
E0276,S032,C005,I002,2026-05-05,Semester 1,B
E0277,S039,C009,I004,2026-05-06,Semester 1,B-
E0278,S046,C003,I001,2026-05-07,Semester 1,C+
E0279,S053,C011,I008,2026-05-08,Semester 1,C
E0280,S060,C007,I005,2026-05-09,Semester 1,A+
E0281,S067,C008,I007,2026-05-10,Semester 1,A
E0282,S074,C006,I004,2026-05-11,Semester 1,A-
E0283,S081,C010,I006,2026-05-12,Semester 1,B+
E0284,S088,C004,I003,2026-05-13,Semester 1,B
E0285,S095,C012,I005,2026-05-14,Semester 1,B-
E0286,S002,C002,I002,2026-05-15,Semester 1,C+
E0287,S009,C009,I004,2026-05-16,Semester 1,C
E0288,S016,C001,I001,2026-05-17,Semester 1,A+
E0289,S023,C011,I008,2026-05-18,Semester 1,A
E0290,S030,C007,I005,2026-05-19,Semester 1,A-
E0291,S037,C005,I007,2026-05-20,Semester 1,B+
E0292,S044,C006,I004,2026-05-21,Semester 1,B
E0293,S051,C003,I006,2026-05-22,Semester 1,B-
E0294,S058,C004,I003,2026-05-23,Semester 1,C+
E0295,S065,C012,I005,2026-05-24,Semester 1,C
E0296,S072,C008,I002,2026-05-25,Semester 1,A+
E0297,S079,C009,I004,2026-05-26,Semester 1,A
E0298,S086,C010,I001,2026-05-27,Semester 1,A-
E0299,S093,C011,I008,2026-05-28,Semester 1,B+
E0300,S100,C007,I005,2026-05-29,Semester 1,B
